protein_a,protein_b,interaction_score,experiment_approach,pubmed_id,GO_a,GO_b
b0098,b3175,999,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005524|GO:0005737|GO:0005886|GO:0006605|GO:0006612|GO:0006886|GO:0008270|GO:0008564|GO:0009306|GO:0009898|GO:0015031|GO:0016020|GO:0017038|GO:0031522|GO:0042802|GO:0043021|GO:0043022|GO:0043952|GO:0046872|GO:0061077|GO:0065002|GO:0070678,GO:0005515|GO:0005886|GO:0006616|GO:0006886|GO:0008320|GO:0009306|GO:0015031|GO:0015450|GO:0016020|GO:0031522|GO:0032978|GO:0043952|GO:0065002
b1884,b2573,878,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005829|GO:0005886|GO:0006479|GO:0006935|GO:0008168|GO:0008276|GO:0008757|GO:0008983|GO:0032259|GO:0098561,GO:0000345|GO:0003677|GO:0005515|GO:0005737|GO:0005886|GO:0006351|GO:0006352|GO:0006355|GO:0006970|GO:0009266|GO:0016987|GO:0036460|GO:0045892|GO:0090605|GO:1903865|GO:2000142
b3464,b2610,999,Two-hybrid,PUBMED:24561554,GO:0003924|GO:0005047|GO:0005515|GO:0005525|GO:0005737|GO:0005829|GO:0005886|GO:0006605|GO:0006612|GO:0006614|GO:0009898|GO:0015968|GO:0016020|GO:0016787|GO:0016887|GO:0042803,GO:0003723|GO:0003924|GO:0005515|GO:0005525|GO:0005737|GO:0005829|GO:0006612|GO:0006614|GO:0008312|GO:0016787|GO:0016887|GO:0048500|GO:1990904
b0470,b4059,999,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003887|GO:0005515|GO:0005524|GO:0006260|GO:0006261|GO:0009360|GO:0016887|GO:0030894|GO:0042802|GO:0043846|GO:0046872|GO:0071897|GO:0075523,GO:0000725|GO:0003677|GO:0003697|GO:0005515|GO:0005829|GO:0006260|GO:0006261|GO:0006281|GO:0006298|GO:0006310|GO:0008047|GO:0009295|GO:0009432|GO:0030894|GO:0042802|GO:0044777|GO:0051096
b2810,b2811,999,Two-hybrid,PUBMED:24561554,GO:0000096|GO:0003824|GO:0005515|GO:0006534|GO:0008826|GO:0009000|GO:0016226|GO:0016261|GO:0016740|GO:0016783|GO:0016787|GO:0016829|GO:0019448|GO:0030170|GO:0031071|GO:0072348|GO:1990221,GO:0005515|GO:0061504|GO:0097163
b2829,b2582,171,Two-hybrid,PUBMED:24561554,GO:0005737|GO:0008965|GO:0009401|GO:0016301|GO:0016310|GO:0016772|GO:0046872,GO:0005515|GO:0005737|GO:0005829|GO:0008270|GO:0015035|GO:0015036|GO:0016491|GO:0046872|GO:0047134
b1559,b2582,238,Two-hybrid,PUBMED:24561554,unknown,GO:0005515|GO:0005737|GO:0005829|GO:0008270|GO:0015035|GO:0015036|GO:0016491|GO:0046872|GO:0047134
b3661,b3651,165,Two-hybrid,PUBMED:24561554,GO:0005886|GO:0015821,GO:0000049|GO:0002938|GO:0003723|GO:0008033|GO:0008168|GO:0030488|GO:0032259|GO:0141100
b1062,b3651,202,Two-hybrid,PUBMED:24561554,GO:0004151|GO:0005737|GO:0005829|GO:0006207|GO:0006221|GO:0008270|GO:0016787|GO:0019856|GO:0042803|GO:0044205|GO:0046872,GO:0000049|GO:0002938|GO:0003723|GO:0008033|GO:0008168|GO:0030488|GO:0032259|GO:0141100
b3287,b3651,210,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005829|GO:0006412|GO:0008198|GO:0008270|GO:0016787|GO:0018206|GO:0031365|GO:0042586|GO:0043022|GO:0043686|GO:0046872,GO:0000049|GO:0002938|GO:0003723|GO:0008033|GO:0008168|GO:0030488|GO:0032259|GO:0141100
b0853,b3651,199,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0009297|GO:0010212|GO:0030308|GO:1900232|GO:1902201|GO:1902209,GO:0000049|GO:0002938|GO:0003723|GO:0008033|GO:0008168|GO:0030488|GO:0032259|GO:0141100
b3281,b3651,195,Two-hybrid,PUBMED:24561554,GO:0000166|GO:0004764|GO:0005515|GO:0005829|GO:0008652|GO:0009073|GO:0009423|GO:0016491|GO:0019632|GO:0050661,GO:0000049|GO:0002938|GO:0003723|GO:0008033|GO:0008168|GO:0030488|GO:0032259|GO:0141100
b0640,b3651,203,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003689|GO:0003887|GO:0005515|GO:0006260|GO:0006261|GO:0009360|GO:0030894|GO:0043846|GO:0071897,GO:0000049|GO:0002938|GO:0003723|GO:0008033|GO:0008168|GO:0030488|GO:0032259|GO:0141100
b2909,b3180,181,Two-hybrid,PUBMED:24561554,GO:0005829,GO:0000027|GO:0000028|GO:0000967|GO:0003723|GO:0005515|GO:0005737|GO:0005829|GO:1990275
b0740,b0633,650,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0015031|GO:0016020|GO:0017038|GO:0019904|GO:0030288|GO:0032153|GO:0032991|GO:0042597|GO:0043213|GO:0044877|GO:0051301|GO:0071237|GO:0090529|GO:1905153,GO:0000270|GO:0005886|GO:0008932|GO:0009279|GO:0016829|GO:0042834|GO:0043093|GO:0071555
b3749,b0809,602,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005524|GO:0005886|GO:0015407|GO:0015591|GO:0015611|GO:0015752|GO:0016020|GO:0016887|GO:0043190|GO:0055052,GO:0003333|GO:0005524|GO:0005886|GO:0006865|GO:0006868|GO:0015186|GO:0015424|GO:0016020|GO:0016887|GO:0055052|GO:1903803
b0595,b0594,999,Two-hybrid,PUBMED:24561554,GO:0000287|GO:0005515|GO:0005737|GO:0005829|GO:0005886|GO:0008908|GO:0009239|GO:0016765|GO:0016787|GO:0016874|GO:0031177|GO:0042802|GO:0046872|GO:0047527,GO:0005515|GO:0005524|GO:0005829|GO:0008668|GO:0009239|GO:0016020|GO:0016746|GO:0016874|GO:0016877|GO:0019290|GO:0047527
b3701,b0184,999,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003887|GO:0005515|GO:0005737|GO:0005829|GO:0006260|GO:0006261|GO:0006271|GO:0006974|GO:0008408|GO:0009360|GO:0030174|GO:0030894|GO:0032297|GO:0042276|GO:0042802|GO:0042803|GO:0044787|GO:1990078|GO:1990085,GO:0003676|GO:0003677|GO:0003887|GO:0005515|GO:0005737|GO:0005829|GO:0006260|GO:0006261|GO:0006272|GO:0006273|GO:0008408|GO:0009360|GO:0030894|GO:0044776|GO:0071897
b0640,b0184,999,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003689|GO:0003887|GO:0005515|GO:0006260|GO:0006261|GO:0009360|GO:0030894|GO:0043846|GO:0071897,GO:0003676|GO:0003677|GO:0003887|GO:0005515|GO:0005737|GO:0005829|GO:0006260|GO:0006261|GO:0006272|GO:0006273|GO:0008408|GO:0009360|GO:0030894|GO:0044776|GO:0071897
b0600,b0184,259,Two-hybrid,PUBMED:24561554,GO:0003824|GO:0005515|GO:0005737|GO:0008483|GO:0009058|GO:0010326|GO:0016212|GO:0030170|GO:0042803,GO:0003676|GO:0003677|GO:0003887|GO:0005515|GO:0005737|GO:0005829|GO:0006260|GO:0006261|GO:0006272|GO:0006273|GO:0008408|GO:0009360|GO:0030894|GO:0044776|GO:0071897
b2129,b4016,171,Two-hybrid,PUBMED:24561554,GO:0005524|GO:0006865|GO:0015838|GO:0016020|GO:0016887|GO:0031459|GO:0031460|GO:0055052,GO:0000287|GO:0004674|GO:0004721|GO:0004722|GO:0005515|GO:0005524|GO:0005737|GO:0006006|GO:0006097|GO:0006099|GO:0008772|GO:0016208|GO:0016310|GO:0016788|GO:0016791|GO:0030145
b1191,b4016,169,Two-hybrid,PUBMED:24561554,GO:0005886|GO:0006813|GO:0006884|GO:0015297|GO:0015386|GO:0016020|GO:0050660|GO:0071805|GO:1902600,GO:0000287|GO:0004674|GO:0004721|GO:0004722|GO:0005515|GO:0005524|GO:0005737|GO:0006006|GO:0006097|GO:0006099|GO:0008772|GO:0016208|GO:0016310|GO:0016788|GO:0016791|GO:0030145
b1468,b1225,999,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005886|GO:0008940|GO:0009061|GO:0009325|GO:0016020|GO:0016491|GO:0019645|GO:0042126|GO:0042128|GO:0043546|GO:0045333|GO:0046872|GO:0051539|GO:0160182|GO:1990204,GO:0005515|GO:0005886|GO:0008940|GO:0009055|GO:0009061|GO:0009325|GO:0016020|GO:0016491|GO:0019645|GO:0042126|GO:0042128|GO:0044799|GO:0046872|GO:0051538|GO:0051539|GO:0160182
b2574,b0750,999,Two-hybrid,PUBMED:24561554,GO:0000166|GO:0005737|GO:0005829|GO:0008734|GO:0009435|GO:0016491|GO:0019363|GO:0034628|GO:0050660,GO:0005737|GO:0005829|GO:0008987|GO:0009435|GO:0016740|GO:0019363|GO:0019805|GO:0034628|GO:0046872|GO:0051539
b4290,b3721,171,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0006826|GO:0006879|GO:0010039|GO:0016020|GO:0030288|GO:0033212|GO:0033214|GO:0042597|GO:0055052,GO:0004553|GO:0005829|GO:0005975|GO:0008422|GO:0008706|GO:0016052|GO:0016798
b3302,b0775,158,Two-hybrid,PUBMED:24561554,GO:0000027|GO:0002181|GO:0003735|GO:0005737|GO:0005840|GO:0006412|GO:0015934|GO:0022625|GO:1990904,GO:0004076|GO:0005506|GO:0005515|GO:0009102|GO:0016740|GO:0042364|GO:0042803|GO:0044272|GO:0046872|GO:0051536|GO:0051537|GO:0051539
b1474,b3891,992,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0006788|GO:0008430|GO:0008863|GO:0009055|GO:0009061|GO:0009326|GO:0015944|GO:0016020|GO:0016491|GO:0019645|GO:0030151|GO:0030288|GO:0036397|GO:0042597|GO:0043546|GO:0045333|GO:0046872|GO:0047111|GO:0051539,GO:0005515|GO:0005737|GO:0005829|GO:0008199|GO:0042803|GO:0051604
b4372,b1763,669,Two-hybrid,PUBMED:24561554,GO:0003887|GO:0005515|GO:0006260|GO:0006261|GO:0008408|GO:0009314|GO:0009360|GO:0030894|GO:0043846|GO:0071897,GO:0000287|GO:0003677|GO:0003916|GO:0003917|GO:0005515|GO:0006261|GO:0006265|GO:0006281|GO:0006310|GO:0043597|GO:0046872|GO:0051304|GO:0098847
b4301,b0088,323,Two-hybrid,PUBMED:24561554,GO:0004750|GO:0005829|GO:0005975|GO:0009052|GO:0016853|GO:0016857|GO:0046872,GO:0005515|GO:0005524|GO:0005737|GO:0008360|GO:0008764|GO:0009058|GO:0009252|GO:0016874|GO:0016881|GO:0042802|GO:0051301|GO:0071555
b3806,b0962,570,Two-hybrid,PUBMED:24561554,GO:0004016|GO:0005515|GO:0005524|GO:0005737|GO:0006171|GO:0016829,GO:0000725|GO:0003677|GO:0003678|GO:0004386|GO:0005515|GO:0005524|GO:0005829|GO:0016787|GO:0016853|GO:0016887|GO:0032508|GO:0043138
b3806,b0962,570,Affinity Capture-Western,PUBMED:24561554,GO:0004016|GO:0005515|GO:0005524|GO:0005737|GO:0006171|GO:0016829,GO:0000725|GO:0003677|GO:0003678|GO:0004386|GO:0005515|GO:0005524|GO:0005829|GO:0016787|GO:0016853|GO:0016887|GO:0032508|GO:0043138
b3806,b0962,570,Affinity Capture-Luminescence,PUBMED:24561554,GO:0004016|GO:0005515|GO:0005524|GO:0005737|GO:0006171|GO:0016829,GO:0000725|GO:0003677|GO:0003678|GO:0004386|GO:0005515|GO:0005524|GO:0005829|GO:0016787|GO:0016853|GO:0016887|GO:0032508|GO:0043138
b0026,b2411,626,Two-hybrid,PUBMED:24561554,GO:0000049|GO:0002161|GO:0004812|GO:0004822|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006412|GO:0006418|GO:0006428|GO:0008270|GO:0046677|GO:0046872|GO:0106074,GO:0003677|GO:0003911|GO:0005515|GO:0005829|GO:0006259|GO:0006260|GO:0006266|GO:0006281|GO:0006288|GO:0016874|GO:0046872|GO:0070403
b1274,b2411,819,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003916|GO:0003917|GO:0005515|GO:0005694|GO:0005829|GO:0006265|GO:0046872|GO:0140226,GO:0003677|GO:0003911|GO:0005515|GO:0005829|GO:0006259|GO:0006260|GO:0006266|GO:0006281|GO:0006288|GO:0016874|GO:0046872|GO:0070403
b0139,b2411,542,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0007155|GO:0009279|GO:0009297|GO:0015473|GO:0016020|GO:0055085,GO:0003677|GO:0003911|GO:0005515|GO:0005829|GO:0006259|GO:0006260|GO:0006266|GO:0006281|GO:0006288|GO:0016874|GO:0046872|GO:0070403
b4253,b2411,542,Two-hybrid,PUBMED:24561554,GO:0005515,GO:0003677|GO:0003911|GO:0005515|GO:0005829|GO:0006259|GO:0006260|GO:0006266|GO:0006281|GO:0006288|GO:0016874|GO:0046872|GO:0070403
b0780,b2411,542,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005737|GO:0008360|GO:0043743,GO:0003677|GO:0003911|GO:0005515|GO:0005829|GO:0006259|GO:0006260|GO:0006266|GO:0006281|GO:0006288|GO:0016874|GO:0046872|GO:0070403
b1945,b1946,999,Two-hybrid,PUBMED:24561554,GO:0003774|GO:0005515|GO:0005886|GO:0006935|GO:0009288|GO:0009425|GO:0009433|GO:0050918|GO:0071973|GO:0071977|GO:0071978|GO:0097588|GO:0120107,GO:0003774|GO:0005515|GO:0005886|GO:0006935|GO:0009288|GO:0009425|GO:0009433|GO:0016020|GO:0071973|GO:0071977|GO:0097588|GO:0120107
b0903,b2707,309,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005737|GO:0005829|GO:0005975|GO:0006006|GO:0008861|GO:0016020|GO:0016746|GO:0044814,GO:0003677|GO:0003700|GO:0005515|GO:0006355|GO:0009401|GO:0045892
b1410,b2707,457,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0016020|GO:0016298,GO:0003677|GO:0003700|GO:0005515|GO:0006355|GO:0009401|GO:0045892
b3635,b3129,152,Two-hybrid,PUBMED:24561554,GO:0000703|GO:0003677|GO:0003684|GO:0003906|GO:0004519|GO:0005737|GO:0006281|GO:0006284|GO:0006974|GO:0008270|GO:0008534|GO:0016787|GO:0016798|GO:0016829|GO:0019104|GO:0034039|GO:0046872|GO:0140078,GO:0001558|GO:0003677|GO:0003700|GO:0005737|GO:0006355|GO:0019899|GO:0040008|GO:0042802|GO:0044010|GO:0045892|GO:0097351|GO:0110001
b3248,b3129,277,Two-hybrid,PUBMED:24561554,GO:0005737|GO:0009117|GO:0016462|GO:0016787|GO:0030145|GO:0036218|GO:0036221|GO:0042802|GO:0042803|GO:0047429,GO:0001558|GO:0003677|GO:0003700|GO:0005737|GO:0006355|GO:0019899|GO:0040008|GO:0042802|GO:0044010|GO:0045892|GO:0097351|GO:0110001
b0082,b4171,583,Two-hybrid,PUBMED:24561554,GO:0005737|GO:0005829|GO:0006364|GO:0008168|GO:0032259|GO:0042803|GO:0070475|GO:0071424,GO:0005524|GO:0006400|GO:0008033|GO:0016740|GO:0016765|GO:0034605|GO:0052381|GO:1990497
b2990,b2721,720,Two-hybrid,PUBMED:24561554,GO:0005506|GO:0005515|GO:0042802|GO:0051604|GO:0065003|GO:1902670,GO:0005515|GO:0006007|GO:0008137|GO:0009061|GO:0009326|GO:0015944|GO:0016151|GO:0016491|GO:0019645|GO:0046872|GO:0048038|GO:0051287|GO:0051539|GO:1902600
b2730,b2721,875,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0016829|GO:0051604|GO:0065003|GO:1904949,GO:0005515|GO:0006007|GO:0008137|GO:0009061|GO:0009326|GO:0015944|GO:0016151|GO:0016491|GO:0019645|GO:0046872|GO:0048038|GO:0051287|GO:0051539|GO:1902600
b3781,b2720,190,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005737|GO:0005829|GO:0015035|GO:0015036|GO:0030337|GO:0045454,GO:0003954|GO:0006007|GO:0009060|GO:0009061|GO:0009326|GO:0015944|GO:0016020|GO:0016651|GO:0019645|GO:0046872|GO:0051539
b0199,b2719,849,Two-hybrid,PUBMED:24561554,GO:0003824|GO:0005515|GO:0005524|GO:0005886|GO:0006865|GO:0009276|GO:0015191|GO:0016020|GO:0016887|GO:0033232|GO:0042626|GO:0048473|GO:0055052|GO:1902475|GO:1903692|GO:1990197,GO:0005515|GO:0006007|GO:0008137|GO:0009061|GO:0009326|GO:0015944|GO:0016491|GO:0019645|GO:0046872|GO:0048038|GO:0051539|GO:1902600
b4097,b4096,999,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005524|GO:0015716|GO:0015833|GO:0016887|GO:0019634|GO:0019700|GO:0061694|GO:1904176,GO:0005524|GO:0015716|GO:0016740|GO:0016887|GO:0019634|GO:0019700|GO:0061693|GO:0061694|GO:1904176
b3867,b4099,188,Two-hybrid,PUBMED:24561554,GO:0004109|GO:0005737|GO:0006779|GO:0006782|GO:0016491|GO:0019353|GO:0046872|GO:0051536|GO:0051539|GO:0051989,GO:0005515|GO:0015716|GO:0016740|GO:0019634|GO:0019700|GO:0061693|GO:0061694|GO:1904176
b3256,b2421,531,Two-hybrid,PUBMED:24561554,GO:0003824|GO:0003989|GO:0004075|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006633|GO:0009317|GO:0016874|GO:0042803|GO:0045717|GO:0046872|GO:2001295,GO:0004124|GO:0005515|GO:0005737|GO:0006535|GO:0016226|GO:0016740|GO:0016765|GO:0016829|GO:0019344|GO:0019345|GO:0019450|GO:0030170|GO:0042803|GO:0080146
b0525,b0700,568,Two-hybrid,PUBMED:24561554,GO:0000413|GO:0003755|GO:0005515|GO:0005737|GO:0005829|GO:0006457|GO:0061077,GO:0005515
b1714,b0851,152,Two-hybrid,PUBMED:24561554,GO:0000049|GO:0000287|GO:0004812|GO:0004826|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006412|GO:0006432|GO:0009328|GO:0046872,GO:0003955|GO:0005515|GO:0005829|GO:0010181|GO:0016491|GO:0034567|GO:0042803
b3811,b0851,157,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0005515|GO:0005737|GO:0006276|GO:0006310|GO:0006313|GO:0007059|GO:0009009|GO:0009037|GO:0015074|GO:0042150|GO:0048476|GO:0051301|GO:0071139,GO:0003955|GO:0005515|GO:0005829|GO:0010181|GO:0016491|GO:0034567|GO:0042803
b0640,b0851,499,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003689|GO:0003887|GO:0005515|GO:0006260|GO:0006261|GO:0009360|GO:0030894|GO:0043846|GO:0071897,GO:0003955|GO:0005515|GO:0005829|GO:0010181|GO:0016491|GO:0034567|GO:0042803
b0640,b0851,499,Affinity Capture-Western,PUBMED:24561554,GO:0003677|GO:0003689|GO:0003887|GO:0005515|GO:0006260|GO:0006261|GO:0009360|GO:0030894|GO:0043846|GO:0071897,GO:0003955|GO:0005515|GO:0005829|GO:0010181|GO:0016491|GO:0034567|GO:0042803
b0640,b0851,499,Affinity Capture-Luminescence,PUBMED:24561554,GO:0003677|GO:0003689|GO:0003887|GO:0005515|GO:0006260|GO:0006261|GO:0009360|GO:0030894|GO:0043846|GO:0071897,GO:0003955|GO:0005515|GO:0005829|GO:0010181|GO:0016491|GO:0034567|GO:0042803
b3905,b1735,677,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003700|GO:0005737|GO:0006355|GO:0019299|GO:0043565|GO:0045893,GO:0001046|GO:0003677|GO:0003700|GO:0006355|GO:0042803|GO:0043565|GO:0045892
b3906,b1735,870,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003700|GO:0005737|GO:0006351|GO:0019299|GO:0043565|GO:0045893,GO:0001046|GO:0003677|GO:0003700|GO:0006355|GO:0042803|GO:0043565|GO:0045892
b0064,b1735,762,Two-hybrid,PUBMED:24561554,GO:0000976|GO:0001217|GO:0003677|GO:0003700|GO:0005515|GO:0005737|GO:0005829|GO:0006355|GO:0019568|GO:0032993|GO:0042802|GO:0043565|GO:0045892,GO:0001046|GO:0003677|GO:0003700|GO:0006355|GO:0042803|GO:0043565|GO:0045892
b2382,b1735,854,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003700|GO:0006355|GO:0043565,GO:0001046|GO:0003677|GO:0003700|GO:0006355|GO:0042803|GO:0043565|GO:0045892
b0588,b0311,363,Two-hybrid,PUBMED:24561554,GO:0005524|GO:0005886|GO:0006826|GO:0015620|GO:0015685|GO:0016020|GO:0016887|GO:0033212|GO:0043190|GO:0055052,GO:0005886|GO:0006970|GO:0008802|GO:0008812|GO:0016020|GO:0016491|GO:0019285|GO:0050660
b2569,b0313,286,Two-hybrid,PUBMED:24561554,GO:0003746|GO:0003924|GO:0005515|GO:0005525|GO:0005829|GO:0005886|GO:0006412|GO:0006414|GO:0009268|GO:0009409|GO:0009651|GO:0016787|GO:0042274|GO:0042802|GO:0043022|GO:0043023|GO:0043024|GO:0045727|GO:0097216,GO:0000976|GO:0003677|GO:0003700|GO:0006355|GO:0006970|GO:0019285|GO:0045892
b1262,b2232,157,Two-hybrid,PUBMED:24561554,GO:0000162|GO:0004425|GO:0004640|GO:0006568|GO:0016830|GO:0016831|GO:0016853,GO:0005515|GO:0005737|GO:0005829|GO:0006744|GO:0008168|GO:0008425|GO:0009898|GO:0010420|GO:0032259|GO:0042538|GO:0061542|GO:0102208|GO:0110142|GO:1901611
b1015,b2232,176,Two-hybrid,PUBMED:24561554,GO:0005298|GO:0005886|GO:0006814|GO:0006865|GO:0015193|GO:0015293|GO:0015824|GO:0015912|GO:0016020|GO:0031402|GO:0035524|GO:0046942|GO:0055085|GO:1905039,GO:0005515|GO:0005737|GO:0005829|GO:0006744|GO:0008168|GO:0008425|GO:0009898|GO:0010420|GO:0032259|GO:0042538|GO:0061542|GO:0102208|GO:0110142|GO:1901611
b0888,b2232,235,Two-hybrid,PUBMED:24561554,GO:0004791|GO:0005515|GO:0005737|GO:0005829|GO:0016491|GO:0019430|GO:0045454|GO:0050660|GO:1902515,GO:0005515|GO:0005737|GO:0005829|GO:0006744|GO:0008168|GO:0008425|GO:0009898|GO:0010420|GO:0032259|GO:0042538|GO:0061542|GO:0102208|GO:0110142|GO:1901611
b3315,b2232,315,Two-hybrid,PUBMED:24561554,GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0015934|GO:0019843|GO:0022625|GO:0042255|GO:0042256|GO:0046677|GO:0070180|GO:1902626|GO:1990904,GO:0005515|GO:0005737|GO:0005829|GO:0006744|GO:0008168|GO:0008425|GO:0009898|GO:0010420|GO:0032259|GO:0042538|GO:0061542|GO:0102208|GO:0110142|GO:1901611
b0910,b1176,500,Two-hybrid,PUBMED:24561554,GO:0004127|GO:0005524|GO:0005737|GO:0005829|GO:0006139|GO:0006220|GO:0009058|GO:0010165|GO:0015949|GO:0016301|GO:0016310|GO:0036430|GO:0036431|GO:0044281|GO:0046940|GO:0097216,GO:0000902|GO:0000917|GO:0000918|GO:0004857|GO:0005515|GO:0005829|GO:0042802|GO:0051301|GO:0051302|GO:0051726|GO:0060187|GO:0090529|GO:1901891
b2904,b1176,315,Two-hybrid,PUBMED:24561554,GO:0005737|GO:0005829|GO:0005960|GO:0006730|GO:0019464,GO:0000902|GO:0000917|GO:0000918|GO:0004857|GO:0005515|GO:0005829|GO:0042802|GO:0051301|GO:0051302|GO:0051726|GO:0060187|GO:0090529|GO:1901891
b2316,b1176,162,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003723|GO:0003729|GO:0003989|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006417|GO:0006633|GO:0008270|GO:0009317|GO:0009329|GO:0016740|GO:0016743|GO:0017148|GO:0042759|GO:0046872|GO:2001295,GO:0000902|GO:0000917|GO:0000918|GO:0004857|GO:0005515|GO:0005829|GO:0042802|GO:0051301|GO:0051302|GO:0051726|GO:0060187|GO:0090529|GO:1901891
b3400,b1176,190,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003723|GO:0003727|GO:0005515|GO:0005829|GO:0009408|GO:0034605|GO:0043023,GO:0000902|GO:0000917|GO:0000918|GO:0004857|GO:0005515|GO:0005829|GO:0042802|GO:0051301|GO:0051302|GO:0051726|GO:0060187|GO:0090529|GO:1901891
b0620,b1176,542,Two-hybrid,PUBMED:24561554,GO:0000156|GO:0000160|GO:0003677|GO:0003700|GO:0005515|GO:0005737|GO:0006355,GO:0000902|GO:0000917|GO:0000918|GO:0004857|GO:0005515|GO:0005829|GO:0042802|GO:0051301|GO:0051302|GO:0051726|GO:0060187|GO:0090529|GO:1901891
b2456,b1176,499,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0006974|GO:0031469|GO:0034214|GO:0042802|GO:0046336,GO:0000902|GO:0000917|GO:0000918|GO:0004857|GO:0005515|GO:0005829|GO:0042802|GO:0051301|GO:0051302|GO:0051726|GO:0060187|GO:0090529|GO:1901891
b2456,b1176,499,Affinity Capture-Luminescence,PUBMED:24561554,GO:0005515|GO:0006974|GO:0031469|GO:0034214|GO:0042802|GO:0046336,GO:0000902|GO:0000917|GO:0000918|GO:0004857|GO:0005515|GO:0005829|GO:0042802|GO:0051301|GO:0051302|GO:0051726|GO:0060187|GO:0090529|GO:1901891
b1175,b1176,999,Two-hybrid,PUBMED:24561554,GO:0000917|GO:0000918|GO:0005515|GO:0005524|GO:0005829|GO:0005886|GO:0007059|GO:0008298|GO:0009898|GO:0016887|GO:0042802|GO:0051301|GO:0060187,GO:0000902|GO:0000917|GO:0000918|GO:0004857|GO:0005515|GO:0005829|GO:0042802|GO:0051301|GO:0051302|GO:0051726|GO:0060187|GO:0090529|GO:1901891
b2918,b1176,170,Two-hybrid,PUBMED:24561554,GO:0003924|GO:0005515|GO:0005524|GO:0005525|GO:0005737|GO:0016787,GO:0000902|GO:0000917|GO:0000918|GO:0004857|GO:0005515|GO:0005829|GO:0042802|GO:0051301|GO:0051302|GO:0051726|GO:0060187|GO:0090529|GO:1901891
b4063,b0895,369,Two-hybrid,PUBMED:24561554,GO:0003677|GO:0003700|GO:0005737|GO:0006355|GO:0006979|GO:0046872|GO:0051537,GO:0005515|GO:0005886|GO:0009061|GO:0009389|GO:0009390|GO:0018907|GO:0019645|GO:0046872|GO:0051539
b4554,b0895,153,Two-hybrid,PUBMED:24561554,unknown,GO:0005515|GO:0005886|GO:0009061|GO:0009389|GO:0009390|GO:0018907|GO:0019645|GO:0046872|GO:0051539
b4041,b1620,277,Two-hybrid,PUBMED:24561554,GO:0004366|GO:0005515|GO:0005886|GO:0006631|GO:0008654|GO:0016024|GO:0016746,GO:0000976|GO:0001217|GO:0003677|GO:0003700|GO:0006355|GO:0032993|GO:0045892
b0097,b1620,277,Two-hybrid,PUBMED:24561554,GO:0005737|GO:0005829|GO:0006417|GO:0042597|GO:0045182,GO:0000976|GO:0001217|GO:0003677|GO:0003700|GO:0006355|GO:0032993|GO:0045892
b1225,b1466,996,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005886|GO:0008940|GO:0009055|GO:0009061|GO:0009325|GO:0016020|GO:0016491|GO:0019645|GO:0042126|GO:0042128|GO:0044799|GO:0046872|GO:0051538|GO:0051539|GO:0160182,GO:0005515|GO:0005737|GO:0016530|GO:0042128|GO:0051082|GO:0051131
b1467,b1466,999,Two-hybrid,PUBMED:24561554,GO:0005515|GO:0005886|GO:0006974|GO:0008940|GO:0009055|GO:0009061|GO:0009325|GO:0016020|GO:0016491|GO:0019645|GO:0042126|GO:0042128|GO:0046872|GO:0051536|GO:0051538|GO:0051539|GO:0160182,GO:0005515|GO:0005737|GO:0016530|GO:0042128|GO:0051082|GO:0051131
